Topics,Alpha,Beta,Unnamed: 0,Validation_Set,Coherence
2,0.01,0.01,135,4,0.3386752168804752
2,0.01,0.31,136,4,0.3356466570792034
2,0.01,0.61,137,4,0.3356466570792034
2,0.01,0.9099999999999999,138,4,0.3450779819998064
2,0.01,symmetric,139,4,0.3356466570792034
2,0.31,0.01,140,4,0.3241159434546691
2,0.31,0.31,141,4,0.3255238668858871
2,0.31,0.61,142,4,0.3164475149626454
2,0.31,0.9099999999999999,143,4,0.3164475149626454
2,0.31,symmetric,144,4,0.3234425118111611
2,0.61,0.01,145,4,0.3225213777892913
2,0.61,0.31,146,4,0.3190965293738864
2,0.61,0.61,147,4,0.3190965293738864
2,0.61,0.9099999999999999,148,4,0.3162537547404792
2,0.61,symmetric,149,4,0.3190965293738864
2,0.9099999999999999,0.01,150,4,0.3225213777892913
2,0.9099999999999999,0.31,151,4,0.3190965293738864
2,0.9099999999999999,0.61,152,4,0.3162537547404792
2,0.9099999999999999,0.9099999999999999,153,4,0.3108582359541093
2,0.9099999999999999,symmetric,154,4,0.3190965293738864
2,asymmetric,0.01,160,4,0.3199488907219581
2,asymmetric,0.31,161,4,0.3162537547404792
2,asymmetric,0.61,162,4,0.3020099488250246
2,asymmetric,0.9099999999999999,163,4,0.2900495064622475
2,asymmetric,symmetric,164,4,0.3162537547404792
2,symmetric,0.01,155,4,0.3225213777892913
2,symmetric,0.31,156,4,0.3190965293738864
2,symmetric,0.61,157,4,0.3190965293738864
2,symmetric,0.9099999999999999,158,4,0.3162537547404792
2,symmetric,symmetric,159,4,0.3190965293738864
3,0.01,0.01,165,4,0.3354509348905363
3,0.01,0.31,166,4,0.3184798877719165
3,0.01,0.61,167,4,0.3326372839398211
3,0.01,0.9099999999999999,168,4,0.4208727715517799
3,0.01,symmetric,169,4,0.316634266247674
3,0.31,0.01,170,4,0.3320295896320873
3,0.31,0.31,171,4,0.3271814836341173
3,0.31,0.61,172,4,0.3589820909592569
3,0.31,0.9099999999999999,173,4,0.4073321000104326
3,0.31,symmetric,174,4,0.3325639980902
3,0.61,0.01,175,4,0.3514992457559267
3,0.61,0.31,176,4,0.3246367919227964
3,0.61,0.61,177,4,0.3460974840673946
3,0.61,0.9099999999999999,178,4,0.3662471121821982
3,0.61,symmetric,179,4,0.3334370921858656
3,0.9099999999999999,0.01,180,4,0.3477400789207088
3,0.9099999999999999,0.31,181,4,0.3209036380581954
3,0.9099999999999999,0.61,182,4,0.341774341166462
3,0.9099999999999999,0.9099999999999999,183,4,0.3513666641834914
3,0.9099999999999999,symmetric,184,4,0.3279144776318485
3,asymmetric,0.01,190,4,0.3480721803066002
3,asymmetric,0.31,191,4,0.3153592130121088
3,asymmetric,0.61,192,4,0.3518747036987335
3,asymmetric,0.9099999999999999,193,4,0.3728944856470583
3,asymmetric,symmetric,194,4,0.3180522644107736
3,symmetric,0.01,185,4,0.3491354722885731
3,symmetric,0.31,186,4,0.3243233426192771
3,symmetric,0.61,187,4,0.3584943495583813
3,symmetric,0.9099999999999999,188,4,0.3916255631459499
3,symmetric,symmetric,189,4,0.3297058570753597
4,0.01,0.01,195,4,0.3347823866177455
4,0.01,0.31,196,4,0.337462120032204
4,0.01,0.61,197,4,0.4152440057663134
4,0.01,0.9099999999999999,198,4,0.3690279015469692
4,0.01,symmetric,199,4,0.340596781681432
4,0.31,0.01,200,4,0.34607484886724
4,0.31,0.31,201,4,0.3385233751990492
4,0.31,0.61,202,4,0.4007376032604358
4,0.31,0.9099999999999999,203,4,0.3492920947810773
4,0.31,symmetric,204,4,0.3320823888078706
4,0.61,0.01,205,4,0.3387982477514227
4,0.61,0.31,206,4,0.3580823010588776
4,0.61,0.61,207,4,0.396061345994523
4,0.61,0.9099999999999999,208,4,0.3348885283688656
4,0.61,symmetric,209,4,0.3226618325409542
4,0.9099999999999999,0.01,210,4,0.3505889196802464
4,0.9099999999999999,0.31,211,4,0.3151338953530868
4,0.9099999999999999,0.61,212,4,0.3518736316258853
4,0.9099999999999999,0.9099999999999999,213,4,0.3765278160409806
4,0.9099999999999999,symmetric,214,4,0.3231621378174836
4,asymmetric,0.01,220,4,0.3500017156744029
4,asymmetric,0.31,221,4,0.3728954852074505
4,asymmetric,0.61,222,4,0.3540948563863683
4,asymmetric,0.9099999999999999,223,4,0.4142613681577304
4,asymmetric,symmetric,224,4,0.3343566309140607
4,symmetric,0.01,215,4,0.338143115263156
4,symmetric,0.31,216,4,0.3288715924341376
4,symmetric,0.61,217,4,0.4016382183517225
