,Term,AffectCategory,Flag,Synonym_1,Synonym_2,Synonym_3,Synonym_4,AffectCategory_#,negative,positive,fear,anger,trust,sadness,disgust,joy,anticip,surprise,features
8,gut ,disgust,1,opening, fistula, tubule,,7,1,0,0,0,0,0,0,0,0,0,gut opening fistula tubul
33,guide ,trust,1,teaching, direct, breed,,5,1,0,0,0,0,0,0,0,0,0,guide teaching direct breed
83,associate ,trust,1,friend, colleague, neighbor,,5,1,0,0,0,0,0,0,0,0,0,associate friend colleague neighbor
153,association ,trust,1,assemblage, shower, brotherhood,,5,1,0,0,0,0,0,0,0,0,0,association assemblage shower brotherhood
232,triumph ,anticip,1,celebration, commemoration, jubilee,,9,1,0,0,0,0,0,0,0,0,0,triumph celebration commemoration jubil
239,triumph ,joy,1,celebration, commemoration, jubilee,,8,1,0,0,0,0,0,0,0,0,0,triumph celebration commemoration jubil
270,harm ,fear,1,deterioration, damage, mar,,3,1,0,0,0,0,0,0,0,0,0,harm deterioration damage mar
292,deal ,anticip,1,barter, negotiation, dealing,,9,1,0,0,0,0,0,0,0,0,0,deal barter negotiation dealing
293,deal ,trust,1,barter, negotiation, dealing,,5,1,0,0,0,0,0,0,0,0,0,deal barter negotiation dealing
294,deal ,surprise,1,barter, negotiation, dealing,,10,1,0,0,0,0,0,0,0,0,0,deal barter negotiation dealing
299,deal ,joy,1,barter, negotiation, dealing,,8,1,0,0,0,0,0,0,0,0,0,deal barter negotiation dealing
377,sap ,sadness,1,deterioration, shake, undermine,,6,1,0,0,0,0,0,0,0,0,0,sap deterioration shake undermi
500,watch ,fear,1,care, surveillance, vigil,,3,1,0,0,0,0,0,0,0,0,0,watch care surveillance vigil
502,watch ,anticip,1,care, surveillance, vigil,,9,1,0,0,0,0,0,0,0,0,0,watch care surveillance vigil
522,mystery ,anticip,1,vaudeville, tragedy, charade,,9,1,0,0,0,0,0,0,0,0,0,mystery vaudeville tragedy charad
524,mystery ,surprise,1,vaudeville, tragedy, charade,,10,1,0,0,0,0,0,0,0,0,0,mystery vaudeville tragedy charad
542,sweet ,anticip,1,melody, clear, soft,,9,1,0,0,0,0,0,0,0,0,0,sweet melody clear soft
543,sweet ,trust,1,melody, clear, soft,,5,1,0,0,0,0,0,0,0,0,0,sweet melody clear soft
544,sweet ,surprise,1,melody, clear, soft,,10,1,0,0,0,0,0,0,0,0,0,sweet melody clear soft
549,sweet ,joy,1,melody, clear, soft,,8,1,0,0,0,0,0,0,0,0,0,sweet melody clear soft
567,loss ,sadness,1,remainder, decrement, deduction,,6,1,0,0,0,0,0,0,0,0,0,loss remainder decrement deducti
583,grant ,trust,1,permission, charter, pass,,5,1,0,0,0,0,0,0,0,0,0,grant permission charter pass
610,depreciation ,fear,1,denunciation, censure, condemnation,,3,1,0,0,0,0,0,0,0,0,0,depreciation denunciation censure condemnati
620,alarm ,fear,1,warning, caution, caveat,,3,1,0,0,0,0,0,0,0,0,0,alarm warning caution caveat
624,alarm ,surprise,1,warning, caution, caveat,,10,1,0,0,0,0,0,0,0,0,0,alarm warning caution caveat
673,bank ,trust,1,store, fund, accumulate,,5,1,0,0,0,0,0,0,0,0,0,bank store fund accumulat
790,desert ,fear,1,resignation, abrogate, vacate,,3,1,0,0,0,0,0,0,0,0,0,desert resignation abrogate vacat
791,desert ,anger,1,resignation, abrogate, vacate,,4,1,0,0,0,0,0,0,0,0,0,desert resignation abrogate vacat
797,desert ,sadness,1,resignation, abrogate, vacate,,6,1,0,0,0,0,0,0,0,0,0,desert resignation abrogate vacat
798,desert ,disgust,1,resignation, abrogate, vacate,,7,1,0,0,0,0,0,0,0,0,0,desert resignation abrogate vacat
817,frown ,sadness,1,lower, pout, despair,,6,1,0,0,0,0,0,0,0,0,0,frown lower pout despair
843,title ,trust,1,honor, sir, lordship,,5,1,0,0,0,0,0,0,0,0,0,title honor sir lordship
860,bully ,fear,1,rough, hood, barbarian,,3,1,0,0,0,0,0,0,0,0,0,bully rough hood barbaria
