,Topics,Alpha,Beta,Chunks,Coherence
0,7,0.15,0.15,20.0,0.35079495235323543
1,7,0.15,0.15,40.0,0.3686640638012695
2,7,0.15,0.15,60.0,0.38368835403467866
3,7,0.15,0.15,80.0,0.40486663917954
4,7,0.15,0.15,100.0,0.3161234652151285
5,7,0.15,0.44999999999999996,20.0,0.40552730841123846
6,7,0.15,0.44999999999999996,40.0,0.3994499610374476
7,7,0.15,0.44999999999999996,60.0,0.4407763064335261
8,7,0.15,0.44999999999999996,80.0,0.4083966772579003
9,7,0.15,0.44999999999999996,100.0,0.3754543050649944
10,7,0.15,0.7499999999999999,20.0,0.3848381266370823
11,7,0.15,0.7499999999999999,40.0,0.4016737512170779
12,7,0.15,0.7499999999999999,60.0,0.39479146404538296
13,7,0.15,0.7499999999999999,80.0,0.4286898364890447
14,7,0.15,0.7499999999999999,100.0,0.46834815993092116
15,7,0.15,symmetric,20.0,0.3374864364254949
16,7,0.15,symmetric,40.0,0.36997830616410515
17,7,0.15,symmetric,60.0,0.3788004019526325
18,7,0.15,symmetric,80.0,0.3913421286172215
19,7,0.15,symmetric,100.0,0.3081924963205312
20,7,0.44999999999999996,0.15,20.0,0.4016982707419115
21,7,0.44999999999999996,0.15,40.0,0.3648328703856798
22,7,0.44999999999999996,0.15,60.0,0.39528778139390824
23,7,0.44999999999999996,0.15,80.0,0.39051847767982517
24,7,0.44999999999999996,0.15,100.0,0.35516673085391165
25,7,0.44999999999999996,0.44999999999999996,20.0,0.3870644509240968
26,7,0.44999999999999996,0.44999999999999996,40.0,0.36391929881314883
27,7,0.44999999999999996,0.44999999999999996,60.0,0.41563204329254205
28,7,0.44999999999999996,0.44999999999999996,80.0,0.4387872174323308
29,7,0.44999999999999996,0.44999999999999996,100.0,0.35680722974273543
30,7,0.44999999999999996,0.7499999999999999,20.0,0.4077295085672122
31,7,0.44999999999999996,0.7499999999999999,40.0,0.3702213461838989
32,7,0.44999999999999996,0.7499999999999999,60.0,0.40056945681016076
33,7,0.44999999999999996,0.7499999999999999,80.0,0.3953768322055681
34,7,0.44999999999999996,0.7499999999999999,100.0,0.4010984861721985
35,7,0.44999999999999996,symmetric,20.0,0.405210791533751
36,7,0.44999999999999996,symmetric,40.0,0.3583294718992419
37,7,0.44999999999999996,symmetric,60.0,0.3819943075007985
38,7,0.44999999999999996,symmetric,80.0,0.38840530855182426
39,7,0.44999999999999996,symmetric,100.0,0.35844647740391977
40,7,0.7499999999999999,0.15,20.0,0.3829883067628745
41,7,0.7499999999999999,0.15,40.0,0.4202509891391809
42,7,0.7499999999999999,0.15,60.0,0.4002272258214517
43,7,0.7499999999999999,0.15,80.0,0.4113954261026617
44,7,0.7499999999999999,0.15,100.0,0.327365668041475
45,7,0.7499999999999999,0.44999999999999996,20.0,0.44686229603925
46,7,0.7499999999999999,0.44999999999999996,40.0,0.41161504074228245
